freeze_id	stage	artifact_class	manuscript_placement	claim_ids	storage	path	size_bytes	sha256	evidence_commit	immutable_status	notes
F0027	Stage10I	environment	reproducibility	NA	local_git_worktree	audit/stage10i/recompute/STAGE10I_RECOMPUTE_SESSIONINFO.txt	991	5de402f5c71ab382f3b1c9906ad98af1f8b847c78901622bf034bae060d3322b	e0f18f35aae957cf1b837ac4bc709a2a8d07cdc0	FROZEN_NO_SILENT_OVERWRITE	Inclusion freezes provenance; it does not by itself authorize a manuscript claim.
F0133	Stage7	environment	reproducibility	NA	local_git_worktree	logs_summary/stage_7_model_sessionInfo.txt	1556	874153c51b423af362b6f1f9f748f2c8d793223a765cf0f2c77bff9cb1c725ec	e0f18f35aae957cf1b837ac4bc709a2a8d07cdc0	FROZEN_NO_SILENT_OVERWRITE	Inclusion freezes provenance; it does not by itself authorize a manuscript claim.
F0285	Stage10C3	environment	reproducibility	NA	local_git_worktree	results/stage10c3/STAGE10C3_SESSIONINFO.txt	1459	2e333c349fd89ab4773e234cd8f36e2da03467bd2d8ba282082009413c6a69f7	e0f18f35aae957cf1b837ac4bc709a2a8d07cdc0	FROZEN_NO_SILENT_OVERWRITE	Inclusion freezes provenance; it does not by itself authorize a manuscript claim.
F0296	Stage10D	environment	reproducibility	NA	local_git_worktree	results/stage10d_tech/STAGE10D_TECH_SESSIONINFO.txt	5115	0f0c817426398aeefe93c1d64af3e00ab30ea90a0597588e3e26fadfbf0fcc34	e0f18f35aae957cf1b837ac4bc709a2a8d07cdc0	FROZEN_NO_SILENT_OVERWRITE	Inclusion freezes provenance; it does not by itself authorize a manuscript claim.
F0311	Stage10E	environment	reproducibility	NA	local_git_worktree	results/stage10e_desc/STAGE10E_DESC_SESSIONINFO.txt	5177	5bd40805f76fac3491c4c64244373a5721358051f5a91dc429402119136b33b6	e0f18f35aae957cf1b837ac4bc709a2a8d07cdc0	FROZEN_NO_SILENT_OVERWRITE	Inclusion freezes provenance; it does not by itself authorize a manuscript claim.
F0359	Stage9A	environment	reproducibility	NA	local_git_worktree	results_final/stage_9A_software_versions.tsv	141	73bf6360a792cc03cbbfb6fc7711fce85e255db2c9781bfb37826c28c4af122a	e0f18f35aae957cf1b837ac4bc709a2a8d07cdc0	FROZEN_NO_SILENT_OVERWRITE	Inclusion freezes provenance; it does not by itself authorize a manuscript claim.
F0374	Stage9B	environment	reproducibility	NA	local_git_worktree	results_final/stage_9B_software_versions.tsv	108	1867c2a1f7e4028bd7835985ff8b4edc05f326aac2f9ab39d065cfcc414d7e6d	e0f18f35aae957cf1b837ac4bc709a2a8d07cdc0	FROZEN_NO_SILENT_OVERWRITE	Inclusion freezes provenance; it does not by itself authorize a manuscript claim.
F0384	Stage9C	environment	reproducibility	NA	local_git_worktree	results_final/stage_9C_software_versions.tsv	128	fb7faf3159f650926587201e9b14a3a19c279ff8e7ccabfac80cfd5eff6cda86	e0f18f35aae957cf1b837ac4bc709a2a8d07cdc0	FROZEN_NO_SILENT_OVERWRITE	Inclusion freezes provenance; it does not by itself authorize a manuscript claim.
F0561	Stage6A	environment	reproducibility	CLM03;CLM14	remote_server_read_only_reference	${CRC_PROJECT_ROOT}/results/06A_pseudobulk/software_versions.tsv	119	c849575d85f6f317d3b5d3306d8675249ac9aa52f0daff655e75ebd6bdb1d2ed	e0f18f35aae957cf1b837ac4bc709a2a8d07cdc0	FROZEN_HASH_VERIFIED_2026-08-01	Executed Stage 6A software versions
F0564	Stage10C	environment	reproducibility	CLM04;CLM16	remote_server_read_only_reference	${CRC_PROJECT_ROOT}/results/10C_fap_confounding/20260731_110021/stage10C_sessionInfo.txt	3623	c480844ac5e6ccc45d5e322c442771fa0657f6885105b0af0fc58d273407c3ea	e0f18f35aae957cf1b837ac4bc709a2a8d07cdc0	FROZEN_HASH_VERIFIED_2026-08-01	Executed Stage 10C R session
F0565	Stage10C	environment	reproducibility	CLM04;CLM16	remote_server_read_only_reference	${CRC_PROJECT_ROOT}/results/10C_fap_confounding/20260731_110021/stage10C_software_versions.tsv	197	0641b25a6f20f0ec7988f33ed8657327c6c1175fbaff54052b56492a71617b73	e0f18f35aae957cf1b837ac4bc709a2a8d07cdc0	FROZEN_HASH_VERIFIED_2026-08-01	Executed Stage 10C software versions
